attack,classfication,defense,height_m,hp,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
60,Tiny Bird Pokémon,30,0.3,40,Spearow,21,31,31,70,normal,flying,2,1,0
90,Beak Pokémon,65,1.2,65,Fearow,22,61,61,100,normal,flying,38,1,0
60,Snake Pokémon,44,2,35,Ekans,23,40,54,55,poison,,6.9,1,0
95,Cobra Pokémon,69,3.5,60,Arbok,24,65,79,80,poison,,65,1,0
55,Mouse Pokémon,40,0.4,35,Pikachu,25,50,50,90,electric,,6,1,0
85,Mouse Pokémon,50,0.8,60,Raichu,26,95,85,110,electric,,30,1,0
75,Mouse Pokémon,90,0.6,50,Sandshrew,27,10,35,40,ground,,12,1,0
100,Mouse Pokémon,120,1,75,Sandslash,28,45,55,65,ground,,29.5,1,0
47,Poison Pin Pokémon,52,0.4,55,Nidoran♀,29,40,40,41,poison,,7,1,0
62,Poison Pin Pokémon,67,0.8,70,Nidorina,30,55,55,56,poison,,20,1,0
92,Drill Pokémon,87,1.3,90,Nidoqueen,31,75,85,76,poison,ground,60,1,0
57,Poison Pin Pokémon,40,0.5,46,Nidoran♂,32,40,40,50,poison,,9,1,0
72,Poison Pin Pokémon,57,0.9,61,Nidorino,33,55,55,65,poison,,19.5,1,0
102,Drill Pokémon,77,1.4,81,Nidoking,34,85,75,85,poison,ground,62,1,0
45,Fairy Pokémon,48,0.6,70,Clefairy,35,60,65,35,fairy,,7.5,1,0
70,Fairy Pokémon,73,1.3,95,Clefable,36,95,90,60,fairy,,40,1,0
41,Fox Pokémon,40,0.6,38,Vulpix,37,50,65,65,fire,,9.9,1,0
67,Fox Pokémon,75,1.1,73,Ninetales,38,81,100,109,fire,,19.9,1,0
45,Balloon Pokémon,20,0.5,115,Jigglypuff,39,45,25,20,normal,fairy,5.5,1,0
70,Balloon Pokémon,45,1,140,Wigglytuff,40,85,50,45,normal,fairy,12,1,0
45,Bat Pokémon,35,0.8,40,Zubat,41,30,40,55,poison,flying,7.5,1,0
80,Bat Pokémon,70,1.6,75,Golbat,42,65,75,90,poison,flying,55,1,0
50,Weed Pokémon,55,0.5,45,Oddish,43,75,65,30,grass,poison,5.4,1,0
65,Weed Pokémon,70,0.8,60,Gloom,44,85,75,40,grass,poison,8.6,1,0
80,Flower Pokémon,85,1.2,75,Vileplume,45,110,90,50,grass,poison,18.6,1,0
70,Mushroom Pokémon,55,0.3,35,Paras,46,45,55,25,bug,grass,5.4,1,0
95,Mushroom Pokémon,80,1,60,Parasect,47,60,80,30,bug,grass,29.5,1,0
55,Insect Pokémon,50,1,60,Venonat,48,40,55,45,bug,poison,30,1,0
65,Poison Moth Pokémon,60,1.5,70,Venomoth,49,90,75,90,bug,poison,12.5,1,0
55,Mole Pokémon,30,0.2,10,Diglett,50,35,45,90,ground,,0.8,1,0
100,Mole Pokémon,60,0.7,35,Dugtrio,51,50,70,110,ground,,33.3,1,0
35,Scratch Cat Pokémon,35,0.4,40,Meowth,52,50,40,90,normal,,4.2,1,0
60,Classy Cat Pokémon,60,1,65,Persian,53,75,65,115,normal,,32,1,0
52,Duck Pokémon,48,0.8,50,Psyduck,54,65,50,55,water,,19.6,1,0
82,Duck Pokémon,78,1.7,80,Golduck,55,95,80,85,water,,76.6,1,0
80,Pig Monkey Pokémon,35,0.5,40,Mankey,56,35,45,70,fighting,,28,1,0
105,Pig Monkey Pokémon,60,1,65,Primeape,57,60,70,95,fighting,,32,1,0
70,Puppy Pokémon,45,0.7,55,Growlithe,58,70,50,60,fire,,19,1,0
110,Legendary Pokémon,80,1.9,90,Arcanine,59,100,80,95,fire,,155,1,0
50,Tadpole Pokémon,40,0.6,40,Poliwag,60,40,40,90,water,,12.4,1,0
65,Tadpole Pokémon,65,1,65,Poliwhirl,61,50,50,90,water,,20,1,0
95,Tadpole Pokémon,95,1.3,90,Poliwrath,62,70,90,70,water,fighting,54,1,0
20,Psi Pokémon,15,0.9,25,Abra,63,105,55,90,psychic,,19.5,1,0
35,Psi Pokémon,30,1.3,40,Kadabra,64,120,70,105,psychic,,56.5,1,0
50,Psi Pokémon,65,1.5,55,Alakazam,65,175,105,150,psychic,,48,1,0
80,Superpower Pokémon,50,0.8,70,Machop,66,35,35,35,fighting,,19.5,1,0
100,Superpower Pokémon,70,1.5,80,Machoke,67,50,60,45,fighting,,70.5,1,0
130,Superpower Pokémon,80,1.6,90,Machamp,68,65,85,55,fighting,,130,1,0
75,Flower Pokémon,35,0.7,50,Bellsprout,69,70,30,40,grass,poison,4,1,0
90,Flycatcher Pokémon,50,1,65,Weepinbell,70,85,45,55,grass,poison,6.4,1,0
105,Flycatcher Pokémon,65,1.7,80,Victreebel,71,100,70,70,grass,poison,15.5,1,0
40,Jellyfish Pokémon,35,0.9,40,Tentacool,72,50,100,70,water,poison,45.5,1,0
70,Jellyfish Pokémon,65,1.6,80,Tentacruel,73,80,120,100,water,poison,55,1,0
80,Rock Pokémon,100,0.4,40,Geodude,74,30,30,20,rock,ground,20,1,0
95,Rock Pokémon,115,1,55,Graveler,75,45,45,35,rock,ground,105,1,0
120,Megaton Pokémon,130,1.4,80,Golem,76,55,65,45,rock,ground,300,1,0
85,Fire Horse Pokémon,55,1,50,Ponyta,77,65,65,90,fire,,30,1,0
100,Fire Horse Pokémon,70,1.7,65,Rapidash,78,80,80,105,fire,,95,1,0
65,Dopey Pokémon,65,1.2,90,Slowpoke,79,40,40,15,water,psychic,36,1,0
75,Hermit Crab Pokémon,180,1.6,95,Slowbro,80,130,80,30,water,psychic,78.5,1,0
35,Magnet Pokémon,70,0.3,25,Magnemite,81,95,55,45,electric,steel,6,1,0
60,Magnet Pokémon,95,1,50,Magneton,82,120,70,70,electric,steel,60,1,0
90,Wild Duck Pokémon,55,0.8,52,Farfetch'd,83,58,62,60,normal,flying,15,1,0
85,Twin Bird Pokémon,45,1.4,35,Doduo,84,35,35,75,normal,flying,39.2,1,0
110,Triple Bird Pokémon,70,1.8,60,Dodrio,85,60,60,110,normal,flying,85.2,1,0
45,Sea Lion Pokémon,55,1.1,65,Seel,86,45,70,45,water,,90,1,0
70,Sea Lion Pokémon,80,1.7,90,Dewgong,87,70,95,70,water,ice,120,1,0
80,Sludge Pokémon,50,0.9,80,Grimer,88,40,50,25,poison,,30,1,0
105,Sludge Pokémon,75,1.2,105,Muk,89,65,100,50,poison,,30,1,0
65,Bivalve Pokémon,100,0.3,30,Shellder,90,45,25,40,water,,4,1,0
95,Bivalve Pokémon,180,1.5,50,Cloyster,91,85,45,70,water,ice,132.5,1,0
35,Gas Pokémon,30,1.3,30,Gastly,92,100,35,80,ghost,poison,0.1,1,0
50,Gas Pokémon,45,1.6,45,Haunter,93,115,55,95,ghost,poison,0.1,1,0
65,Shadow Pokémon,80,1.5,60,Gengar,94,170,95,130,ghost,poison,40.5,1,0
45,Rock Snake Pokémon,160,8.8,35,Onix,95,30,45,70,rock,ground,210,1,0
48,Hypnosis Pokémon,45,1,60,Drowzee,96,43,90,42,psychic,,32.4,1,0
73,Hypnosis Pokémon,70,1.6,85,Hypno,97,73,115,67,psychic,,75.6,1,0
105,River Crab Pokémon,90,0.4,30,Krabby,98,25,25,50,water,,6.5,1,0
130,Pincer Pokémon,115,1.3,55,Kingler,99,50,50,75,water,,60,1,0
30,Ball Pokémon,50,0.5,40,Voltorb,100,55,55,100,electric,,10.4,1,0
50,Ball Pokémon,70,1.2,60,Electrode,101,80,80,150,electric,,66.6,1,0
40,Egg Pokémon,80,0.4,60,Exeggcute,102,60,45,40,grass,psychic,2.5,1,0
105,Coconut Pokémon,85,2,95,Exeggutor,103,125,75,45,grass,psychic,120,1,0
50,Lonely Pokémon,95,0.4,50,Cubone,104,40,50,35,ground,,6.5,1,0
80,Bone Keeper Pokémon,110,1,60,Marowak,105,50,80,45,ground,,45,1,0
120,Kicking Pokémon,53,1.5,50,Hitmonlee,106,35,110,87,fighting,,49.8,1,0
105,Punching Pokémon,79,1.4,50,Hitmonchan,107,35,110,76,fighting,,50.2,1,0
55,Licking Pokémon,75,1.2,90,Lickitung,108,60,75,30,normal,,65.5,1,0
65,Poison Gas Pokémon,95,0.6,40,Koffing,109,60,45,35,poison,,1,1,0
90,Poison Gas Pokémon,120,1.2,65,Weezing,110,85,70,60,poison,,9.5,1,0
85,Spikes Pokémon,95,1,80,Rhyhorn,111,30,30,25,ground,rock,115,1,0
130,Drill Pokémon,120,1.9,105,Rhydon,112,45,45,40,ground,rock,120,1,0
5,Egg Pokémon,5,1.1,250,Chansey,113,35,105,50,normal,,34.6,1,0
55,Vine Pokémon,115,1,65,Tangela,114,100,40,60,grass,,35,1,0
125,Parent Pokémon,100,2.2,105,Kangaskhan,115,60,100,100,normal,,80,1,0
40,Dragon Pokémon,70,0.4,30,Horsea,116,70,25,60,water,,8,1,0
65,Dragon Pokémon,95,1.2,55,Seadra,117,95,45,85,water,,25,1,0
67,Goldfish Pokémon,60,0.6,45,Goldeen,118,35,50,63,water,,15,1,0
92,Goldfish Pokémon,65,1.3,80,Seaking,119,65,80,68,water,,39,1,0
45,Starshape Pokémon,55,0.8,30,Staryu,120,70,55,85,water,,34.5,1,0
75,Mysterious Pokémon,85,1.1,60,Starmie,121,100,85,115,water,psychic,80,1,0
45,Barrier Pokémon,65,1.3,40,Mr. Mime,122,100,120,90,psychic,fairy,54.5,1,0
110,Mantis Pokémon,80,1.5,70,Scyther,123,55,80,105,bug,flying,56,1,0
50,Humanshape Pokémon,35,1.4,65,Jynx,124,115,95,95,ice,psychic,40.6,1,0
83,Electric Pokémon,57,1.1,65,Electabuzz,125,95,85,105,electric,,30,1,0
95,Spitfire Pokémon,57,1.3,65,Magmar,126,100,85,93,fire,,44.5,1,0
155,Stagbeetle Pokémon,120,1.5,65,Pinsir,127,65,90,105,bug,,55,1,0
100,Wild Bull Pokémon,95,1.4,75,Tauros,128,40,70,110,normal,,88.4,1,0
10,Fish Pokémon,55,0.9,20,Magikarp,129,15,20,80,water,,10,1,0
155,Atrocious Pokémon,109,6.5,95,Gyarados,130,70,130,81,water,flying,235,1,0
85,Transport Pokémon,80,2.5,130,Lapras,131,85,95,60,water,ice,220,1,0
48,Transform Pokémon,48,0.3,48,Ditto,132,48,48,48,normal,,4,1,0
55,Evolution Pokémon,50,0.3,55,Eevee,133,45,65,55,normal,,6.5,1,0
65,Bubble Jet Pokémon,60,1,130,Vaporeon,134,110,95,65,water,,29,1,0
65,Lightning Pokémon,60,0.8,65,Jolteon,135,110,95,130,electric,,24.5,1,0
130,Flame Pokémon,60,0.9,65,Flareon,136,95,110,65,fire,,25,1,0
60,Virtual Pokémon,70,0.8,65,Porygon,137,85,75,40,normal,,36.5,1,0
40,Spiral Pokémon,100,0.4,35,Omanyte,138,90,55,35,rock,water,7.5,1,0
60,Spiral Pokémon,125,1,70,Omastar,139,115,70,55,rock,water,35,1,0
80,Shellfish Pokémon,90,0.5,30,Kabuto,140,55,45,55,rock,water,11.5,1,0
115,Shellfish Pokémon,105,1.3,60,Kabutops,141,65,70,80,rock,water,40.5,1,0
135,Fossil Pokémon,85,1.8,80,Aerodactyl,142,70,95,150,rock,flying,59,1,0
110,Sleeping Pokémon,65,2.1,160,Snorlax,143,65,110,30,normal,,460,1,0
85,Freeze Pokémon,100,1.7,90,Articuno,144,95,125,85,ice,flying,55.4,1,1
90,Electric Pokémon,85,1.6,90,Zapdos,145,125,90,100,electric,flying,52.6,1,1
100,Flame Pokémon,90,2,90,Moltres,146,125,85,90,fire,flying,60,1,1
64,Dragon Pokémon,45,1.8,41,Dratini,147,50,50,50,dragon,,3.3,1,0
84,Dragon Pokémon,65,4,61,Dragonair,148,70,70,70,dragon,,16.5,1,0
134,Dragon Pokémon,95,2.2,91,Dragonite,149,100,100,80,dragon,flying,210,1,0
150,Genetic Pokémon,70,2,106,Mewtwo,150,194,120,140,psychic,,122,1,1
100,New Species Pokémon,100,0.4,100,Mew,151,100,100,100,psychic,,4,1,1
49,Leaf Pokémon,65,0.9,45,Chikorita,152,49,65,45,grass,,6.4,2,0
62,Leaf Pokémon,80,1.2,60,Bayleef,153,63,80,60,grass,,15.8,2,0
82,Herb Pokémon,100,1.8,80,Meganium,154,83,100,80,grass,,100.5,2,0
52,Fire Mouse Pokémon,43,0.5,39,Cyndaquil,155,60,50,65,fire,,7.9,2,0
64,Volcano Pokémon,58,0.9,58,Quilava,156,80,65,80,fire,,19,2,0
84,Volcano Pokémon,78,1.7,78,Typhlosion,157,109,85,100,fire,,79.5,2,0
65,Big Jaw Pokémon,64,0.6,50,Totodile,158,44,48,43,water,,9.5,2,0
80,Big Jaw Pokémon,80,1.1,65,Croconaw,159,59,63,58,water,,25,2,0
105,Big Jaw Pokémon,100,2.3,85,Feraligatr,160,79,83,78,water,,88.8,2,0
46,Scout Pokémon,34,0.8,35,Sentret,161,35,45,20,normal,,6,2,0
76,Long Body Pokémon,64,1.8,85,Furret,162,45,55,90,normal,,32.5,2,0
30,Owl Pokémon,30,0.7,60,Hoothoot,163,36,56,50,normal,flying,21.2,2,0
50,Owl Pokémon,50,1.6,100,Noctowl,164,86,96,70,normal,flying,40.8,2,0
20,Five Star Pokémon,30,1,40,Ledyba,165,40,80,55,bug,flying,10.8,2,0
35,Five Star Pokémon,50,1.4,55,Ledian,166,55,110,85,bug,flying,35.6,2,0
60,String Spit Pokémon,40,0.5,40,Spinarak,167,40,40,30,bug,poison,8.5,2,0
90,Long Leg Pokémon,70,1.1,70,Ariados,168,60,70,40,bug,poison,33.5,2,0
90,Bat Pokémon,80,1.8,85,Crobat,169,70,80,130,poison,flying,75,2,0
38,Angler Pokémon,38,0.5,75,Chinchou,170,56,56,67,water,electric,12,2,0
58,Light Pokémon,58,1.2,125,Lanturn,171,76,76,67,water,electric,22.5,2,0
40,Tiny Mouse Pokémon,15,0.3,20,Pichu,172,35,35,60,electric,,2,2,0
25,Star Shape Pokémon,28,0.3,50,Cleffa,173,45,55,15,fairy,,3,2,0
30,Balloon Pokémon,15,0.3,90,Igglybuff,174,40,20,15,normal,fairy,1,2,0
20,Spike Ball Pokémon,65,0.3,35,Togepi,175,40,65,20,fairy,,1.5,2,0
40,Happiness Pokémon,85,0.6,55,Togetic,176,80,105,40,fairy,flying,3.2,2,0
50,Little Bird Pokémon,45,0.2,40,Natu,177,70,45,70,psychic,flying,2,2,0
75,Mystic Pokémon,70,1.5,65,Xatu,178,95,70,95,psychic,flying,15,2,0
40,Wool Pokémon,40,0.6,55,Mareep,179,65,45,35,electric,,7.8,2,0
55,Wool Pokémon,55,0.8,70,Flaaffy,180,80,60,45,electric,,13.3,2,0
95,Light Pokémon,105,1.4,90,Ampharos,181,165,110,45,electric,,61.5,2,0
80,Flower Pokémon,95,0.4,75,Bellossom,182,90,100,50,grass,,5.8,2,0
20,Aquamouse Pokémon,50,0.4,70,Marill,183,20,50,40,water,fairy,8.5,2,0
50,Aquarabbit Pokémon,80,0.8,100,Azumarill,184,60,80,50,water,fairy,28.5,2,0
100,Imitation Pokémon,115,1.2,70,Sudowoodo,185,30,65,30,rock,,38,2,0
75,Frog Pokémon,75,1.1,90,Politoed,186,90,100,70,water,,33.9,2,0
35,Cottonweed Pokémon,40,0.4,35,Hoppip,187,35,55,50,grass,flying,0.5,2,0
45,Cottonweed Pokémon,50,0.6,55,Skiploom,188,45,65,80,grass,flying,1,2,0
55,Cottonweed Pokémon,70,0.8,75,Jumpluff,189,55,95,110,grass,flying,3,2,0
70,Long Tail Pokémon,55,0.8,55,Aipom,190,40,55,85,normal,,11.5,2,0
30,Seed Pokémon,30,0.3,30,Sunkern,191,30,30,30,grass,,1.8,2,0
75,Sun Pokémon,55,0.8,75,Sunflora,192,105,85,30,grass,,8.5,2,0
65,Clear Wing Pokémon,45,1.2,65,Yanma,193,75,45,95,bug,flying,38,2,0
45,Water Fish Pokémon,45,0.4,55,Wooper,194,25,25,15,water,ground,8.5,2,0
85,Water Fish Pokémon,85,1.4,95,Quagsire,195,65,65,35,water,ground,75,2,0
65,Sun Pokémon,60,0.9,65,Espeon,196,130,95,110,psychic,,26.5,2,0
65,Moonlight Pokémon,110,1,95,Umbreon,197,60,130,65,dark,,27,2,0
85,Darkness Pokémon,42,0.5,60,Murkrow,198,85,42,91,dark,flying,2.1,2,0
75,Royal Pokémon,80,2,95,Slowking,199,100,110,30,water,psychic,79.5,2,0
60,Screech Pokémon,60,0.7,60,Misdreavus,200,85,85,85,ghost,,1,2,0
72,Symbol Pokémon,48,0.5,48,Unown,201,72,48,48,psychic,,5,2,0
33,Patient Pokémon,58,1.3,190,Wobbuffet,202,33,58,33,psychic,,28.5,2,0
80,Long Neck Pokémon,65,1.5,70,Girafarig,203,90,65,85,normal,psychic,41.5,2,0
65,Bagworm Pokémon,90,0.6,50,Pineco,204,35,35,15,bug,,7.2,2,0
90,Bagworm Pokémon,140,1.2,75,Forretress,205,60,60,40,bug,steel,125.8,2,0
70,Land Snake Pokémon,70,1.5,100,Dunsparce,206,65,65,45,normal,,14,2,0
75,Flyscorpion Pokémon,105,1.1,65,Gligar,207,35,65,85,ground,flying,64.8,2,0
125,Iron Snake Pokémon,230,9.2,75,Steelix,208,55,95,30,steel,ground,400,2,0
80,Fairy Pokémon,50,0.6,60,Snubbull,209,40,40,30,fairy,,7.8,2,0
120,Fairy Pokémon,75,1.4,90,Granbull,210,60,60,45,fairy,,48.7,2,0
95,Balloon Pokémon,85,0.5,65,Qwilfish,211,55,55,85,water,poison,3.9,2,0
150,Pincer Pokémon,140,1.8,70,Scizor,212,65,100,75,bug,steel,118,2,0
10,Mold Pokémon,230,0.6,20,Shuckle,213,10,230,5,bug,rock,20.5,2,0
185,Singlehorn Pokémon,115,1.5,80,Heracross,214,40,105,75,bug,fighting,54,2,0
95,Sharp Claw Pokémon,55,0.9,55,Sneasel,215,35,75,115,dark,ice,28,2,0
80,Little Bear Pokémon,50,0.6,60,Teddiursa,216,50,50,40,normal,,8.8,2,0
130,Hibernator Pokémon,75,1.8,90,Ursaring,217,75,75,55,normal,,125.8,2,0
40,Lava Pokémon,40,0.7,40,Slugma,218,70,40,20,fire,,35,2,0
50,Lava Pokémon,120,0.8,60,Magcargo,219,90,80,30,fire,rock,55,2,0
50,Pig Pokémon,40,0.4,50,Swinub,220,30,30,50,ice,ground,6.5,2,0
100,Swine Pokémon,80,1.1,100,Piloswine,221,60,60,50,ice,ground,55.8,2,0
55,Coral Pokémon,95,0.6,65,Corsola,222,65,95,35,water,rock,5,2,0
65,Jet Pokémon,35,0.6,35,Remoraid,223,65,35,65,water,,12,2,0
105,Jet Pokémon,75,0.9,75,Octillery,224,105,75,45,water,,28.5,2,0
55,Delivery Pokémon,45,0.9,45,Delibird,225,65,45,75,ice,flying,16,2,0
40,Kite Pokémon,70,2.1,85,Mantine,226,80,140,70,water,flying,220,2,0
80,Armor Bird Pokémon,140,1.7,65,Skarmory,227,40,70,70,steel,flying,50.5,2,0
60,Dark Pokémon,30,0.6,45,Houndour,228,80,50,65,dark,fire,10.8,2,0
90,Dark Pokémon,90,1.4,75,Houndoom,229,140,90,115,dark,fire,35,2,0
95,Dragon Pokémon,95,1.8,75,Kingdra,230,95,95,85,water,dragon,152,2,0
60,Long Nose Pokémon,60,0.5,90,Phanpy,231,40,40,40,ground,,33.5,2,0
120,Armor Pokémon,120,1.1,90,Donphan,232,60,60,50,ground,,120,2,0
80,Virtual Pokémon,90,0.6,85,Porygon2,233,105,95,60,normal,,32.5,2,0
95,Big Horn Pokémon,62,1.4,73,Stantler,234,85,65,85,normal,,71.2,2,0
20,Painter Pokémon,35,1.2,55,Smeargle,235,20,45,75,normal,,58,2,0
35,Scuffle Pokémon,35,0.7,35,Tyrogue,236,35,35,35,fighting,,21,2,0
95,Handstand Pokémon,95,1.4,50,Hitmontop,237,35,110,70,fighting,,48,2,0
30,Kiss Pokémon,15,0.4,45,Smoochum,238,85,65,65,ice,psychic,6,2,0
63,Electric Pokémon,37,0.6,45,Elekid,239,65,55,95,electric,,23.5,2,0
75,Live Coal Pokémon,37,0.7,45,Magby,240,70,55,83,fire,,21.4,2,0
80,Milk Cow Pokémon,105,1.2,95,Miltank,241,40,70,100,normal,,75.5,2,0
10,Happiness Pokémon,10,1.5,255,Blissey,242,75,135,55,normal,,46.8,2,0
85,Thunder Pokémon,75,1.9,90,Raikou,243,115,100,115,electric,,178,2,1
115,Volcano Pokémon,85,2.1,115,Entei,244,90,75,100,fire,,198,2,1
75,Aurora Pokémon,115,2,100,Suicune,245,90,115,85,water,,187,2,1
64,Rock Skin Pokémon,50,0.6,50,Larvitar,246,45,50,41,rock,ground,72,2,0
84,Hard Shell Pokémon,70,1.2,70,Pupitar,247,65,70,51,rock,ground,152,2,0
164,Armor Pokémon,150,2,100,Tyranitar,248,95,120,71,rock,dark,202,2,0
90,Diving Pokémon,130,5.2,106,Lugia,249,90,154,110,psychic,flying,216,2,1
130,Rainbow Pokémon,90,3.8,106,Ho-Oh,250,110,154,90,fire,flying,199,2,1
100,Time Travel Pokémon,100,0.6,100,Celebi,251,100,100,100,psychic,grass,5,2,1
45,Wood Gecko Pokémon,35,0.5,40,Treecko,252,65,55,70,grass,,5,3,0
65,Wood Gecko Pokémon,45,0.9,50,Grovyle,253,85,65,95,grass,,21.6,3,0
110,Forest Pokémon,75,1.7,70,Sceptile,254,145,85,145,grass,,52.2,3,0
60,Chick Pokémon,40,0.4,45,Torchic,255,70,50,45,fire,,2.5,3,0
85,Young Fowl Pokémon,60,0.9,60,Combusken,256,85,60,55,fire,fighting,19.5,3,0
160,Blaze Pokémon,80,1.9,80,Blaziken,257,130,80,100,fire,fighting,52,3,0
70,Mud Fish Pokémon,50,0.4,50,Mudkip,258,50,50,40,water,,7.6,3,0
85,Mud Fish Pokémon,70,0.7,70,Marshtomp,259,60,70,50,water,ground,28,3,0
150,Mud Fish Pokémon,110,1.5,100,Swampert,260,95,110,70,water,ground,81.9,3,0
55,Bite Pokémon,35,0.5,35,Poochyena,261,30,30,35,dark,,13.6,3,0
90,Bite Pokémon,70,1,70,Mightyena,262,60,60,70,dark,,37,3,0
30,Tiny Racoon Pokémon,41,0.4,38,Zigzagoon,263,30,41,60,normal,,17.5,3,0
70,Rush Pokémon,61,0.5,78,Linoone,264,50,61,100,normal,,32.5,3,0
45,Worm Pokémon,35,0.3,45,Wurmple,265,20,30,20,bug,,3.6,3,0
35,Cocoon Pokémon,55,0.6,50,Silcoon,266,25,25,15,bug,,10,3,0
70,Butterfly Pokémon,50,1,60,Beautifly,267,100,50,65,bug,flying,28.4,3,0
35,Cocoon Pokémon,55,0.7,50,Cascoon,268,25,25,15,bug,,11.5,3,0
50,Poison Moth Pokémon,70,1.2,60,Dustox,269,50,90,65,bug,poison,31.6,3,0
30,Water Weed Pokémon,30,0.5,40,Lotad,270,40,50,30,water,grass,2.6,3,0
50,Jolly Pokémon,50,1.2,60,Lombre,271,60,70,50,water,grass,32.5,3,0
70,Carefree Pokémon,70,1.5,80,Ludicolo,272,90,100,70,water,grass,55,3,0
40,Acorn Pokémon,50,0.5,40,Seedot,273,30,30,30,grass,,4,3,0
70,Wily Pokémon,40,1,70,Nuzleaf,274,60,40,60,grass,dark,28,3,0
100,Wickid Pokémon,60,1.3,90,Shiftry,275,90,60,80,grass,dark,59.6,3,0
55,TinySwallow Pokémon,30,0.3,40,Taillow,276,30,30,85,normal,flying,2.3,3,0
85,Swallow Pokémon,60,0.7,60,Swellow,277,75,50,125,normal,flying,19.8,3,0
30,Seagull Pokémon,30,0.6,40,Wingull,278,55,30,85,water,flying,9.5,3,0
50,Water Bird Pokémon,100,1.2,60,Pelipper,279,95,70,65,water,flying,28,3,0
25,Feeling Pokémon,25,0.4,28,Ralts,280,45,35,40,psychic,fairy,6.6,3,0
35,Emotion Pokémon,35,0.8,38,Kirlia,281,65,55,50,psychic,fairy,20.2,3,0
85,Embrace Pokémon,65,1.6,68,Gardevoir,282,165,135,100,psychic,fairy,48.4,3,0
30,Pond Skater Pokémon,32,0.5,40,Surskit,283,50,52,65,bug,water,1.7,3,0
60,Eyeball Pokémon,62,0.8,70,Masquerain,284,100,82,80,bug,flying,3.6,3,0
40,Mushroom Pokémon,60,0.4,60,Shroomish,285,40,60,35,grass,,4.5,3,0
130,Mushroom Pokémon,80,1.2,60,Breloom,286,60,60,70,grass,fighting,39.2,3,0
60,Slacker Pokémon,60,0.8,60,Slakoth,287,35,35,30,normal,,24,3,0
80,Wild Monkey Pokémon,80,1.4,80,Vigoroth,288,55,55,90,normal,,46.5,3,0
160,Lazy Pokémon,100,2,150,Slaking,289,95,65,100,normal,,130.5,3,0
45,Trainee Pokémon,90,0.5,31,Nincada,290,30,30,40,bug,ground,5.5,3,0
90,Ninja Pokémon,45,0.8,61,Ninjask,291,50,50,160,bug,flying,12,3,0
90,Shed Pokémon,45,0.8,1,Shedinja,292,30,30,40,bug,ghost,1.2,3,0
51,Whisper Pokémon,23,0.6,64,Whismur,293,51,23,28,normal,,16.3,3,0
71,Big Voice Pokémon,43,1,84,Loudred,294,71,43,48,normal,,40.5,3,0
91,Loud Noise Pokémon,63,1.5,104,Exploud,295,91,73,68,normal,,84,3,0
60,Guts Pokémon,30,1,72,Makuhita,296,20,30,25,fighting,,86.4,3,0
120,Arm Thrust Pokémon,60,2.3,144,Hariyama,297,40,60,50,fighting,,253.8,3,0
20,Polka Dot Pokémon,40,0.2,50,Azurill,298,20,40,20,normal,fairy,2,3,0
45,Compass Pokémon,135,1,30,Nosepass,299,45,90,30,rock,,97,3,0
45,Kitten Pokémon,45,0.6,50,Skitty,300,35,35,50,normal,,11,3,0
65,Prim Pokémon,65,1.1,70,Delcatty,301,55,55,90,normal,,32.6,3,0
85,Darkness Pokémon,125,0.5,50,Sableye,302,85,115,20,dark,ghost,11,3,0
